Storm_ID,Name,Year,Date,Lat,Lon,Wind_Knots,Pressure_mb,R34_NE,R34_SE,R34_SW,R34_NW,R64_NE,R64_SE,R64_SW,R64_NW
AL162011,OPHELIA,2011,2011-10-02,40.1,-60.8,90,960,180,200,80,90,40,40,20,20
AL162011,OPHELIA,2011,2011-10-03,42.8,-59.6,70,972,180,200,100,90,40,40,0,20
AL162011,OPHELIA,2011,2011-10-03,45.4,-57.6,60,980,180,200,120,60,0,0,0,0
AL162011,OPHELIA,2011,2011-10-03,46.9,-55.4,60,990,180,200,120,60,0,0,0,0
AL162011,OPHELIA,2011,2011-10-03,47.4,-54.0,50,994,150,250,150,60,0,0,0,0
AL162011,OPHELIA,2011,2011-10-03,48.9,-49.2,45,994,150,250,175,60,0,0,0,0
AL162011,OPHELIA,2011,2011-10-04,49.9,-43.6,40,994,0,250,0,0,0,0,0,0
AL162011,OPHELIA,2011,2011-10-04,50.6,-37.8,40,996,0,250,0,0,0,0,0,0
AL162011,OPHELIA,2011,2011-10-04,51.3,-31.9,40,996,0,250,0,0,0,0,0,0
AL182011,RINA,2011,2011-10-22,12.7,-81.0,25,1007,0,0,0,0,0,0,0,0
AL182011,RINA,2011,2011-10-22,12.7,-81.2,25,1007,0,0,0,0,0,0,0,0
AL182011,RINA,2011,2011-10-22,12.9,-81.4,25,1006,0,0,0,0,0,0,0,0
AL182011,RINA,2011,2011-10-22,13.2,-81.4,25,1006,0,0,0,0,0,0,0,0
AL182011,RINA,2011,2011-10-23,13.6,-81.4,25,1006,0,0,0,0,0,0,0,0
AL182011,RINA,2011,2011-10-23,14.2,-81.4,25,1006,0,0,0,0,0,0,0,0
AL182011,RINA,2011,2011-10-23,14.8,-81.5,25,1006,0,0,0,0,0,0,0,0
AL182011,RINA,2011,2011-10-23,15.5,-81.7,30,1005,0,0,0,0,0,0,0,0
AL182011,RINA,2011,2011-10-24,16.0,-81.9,35,1004,0,0,60,60,0,0,0,0
AL182011,RINA,2011,2011-10-24,16.5,-82.2,40,1003,0,0,60,80,0,0,0,0
AL182011,RINA,2011,2011-10-24,16.9,-82.6,50,1001,60,40,60,80,0,0,0,0
AL182011,RINA,2011,2011-10-24,17.1,-83.0,65,991,60,60,75,100,15,10,0,15
AL182011,RINA,2011,2011-10-25,17.2,-83.2,75,982,60,60,75,100,15,10,0,15
AL182011,RINA,2011,2011-10-25,17.3,-83.5,90,976,60,60,75,100,15,10,10,15
AL182011,RINA,2011,2011-10-25,17.3,-83.8,95,972,60,60,75,100,15,10,10,15
AL182011,RINA,2011,2011-10-25,17.3,-84.2,100,971,75,75,75,100,20,20,20,20
AL182011,RINA,2011,2011-10-26,17.4,-84.6,100,966,75,75,75,100,20,20,20,25
AL182011,RINA,2011,2011-10-26,17.5,-85.0,100,969,80,80,80,100,20,20,20,25
AL182011,RINA,2011,2011-10-26,17.7,-85.4,85,973,80,80,80,100,20,20,20,20
AL182011,RINA,2011,2011-10-26,18.0,-85.8,80,976,70,90,80,70,15,15,15,15
AL182011,RINA,2011,2011-10-27,18.3,-86.3,80,978,70,90,80,70,15,15,15,15
AL182011,RINA,2011,2011-10-27,18.6,-86.7,65,987,60,75,60,60,15,15,15,15
AL182011,RINA,2011,2011-10-27,19.0,-86.9,60,988,60,75,60,60,0,0,0,0
AL182011,RINA,2011,2011-10-27,19.5,-87.1,60,991,60,60,50,60,0,0,0,0
AL182011,RINA,2011,2011-10-28,20.2,-87.2,55,996,60,60,25,40,0,0,0,0
AL182011,RINA,2011,2011-10-28,20.5,-87.2,50,996,60,60,25,40,0,0,0,0
AL182011,RINA,2011,2011-10-28,20.9,-87.1,50,998,60,60,20,30,0,0,0,0
AL182011,RINA,2011,2011-10-28,21.4,-86.9,40,1002,35,35,0,0,0,0,0,0
AL182011,RINA,2011,2011-10-28,21.7,-86.4,25,1007,0,0,0,0,0,0,0,0
AL182011,RINA,2011,2011-10-29,21.8,-85.3,20,1008,0,0,0,0,0,0,0,0
AL182011,RINA,2011,2011-10-29,21.5,-84.2,20,1008,0,0,0,0,0,0,0,0
AL052012,ERNESTO,2012,2012-08-01,11.6,-46.7,30,1008,0,0,0,0,0,0,0,0
AL052012,ERNESTO,2012,2012-08-01,12.0,-48.2,30,1008,0,0,0,0,0,0,0,0
AL052012,ERNESTO,2012,2012-08-02,12.4,-49.9,30,1008,0,0,0,0,0,0,0,0
AL052012,ERNESTO,2012,2012-08-02,12.7,-51.7,30,1008,0,0,0,0,0,0,0,0
AL052012,ERNESTO,2012,2012-08-02,13.0,-53.6,35,1007,90,0,0,60,0,0,0,0
AL052012,ERNESTO,2012,2012-08-02,13.2,-55.5,45,1006,90,30,0,60,0,0,0,0
AL052012,ERNESTO,2012,2012-08-03,13.4,-57.5,45,1005,90,60,0,60,0,0,0,0
AL052012,ERNESTO,2012,2012-08-03,13.6,-59.7,40,1005,90,80,0,60,0,0,0,0
AL052012,ERNESTO,2012,2012-08-03,13.7,-61.6,40,1003,90,100,0,60,0,0,0,0
AL052012,ERNESTO,2012,2012-08-03,13.8,-63.3,40,1003,100,100,0,60,0,0,0,0
AL052012,ERNESTO,2012,2012-08-04,13.8,-64.8,40,1004,100,80,0,50,0,0,0,0
AL052012,ERNESTO,2012,2012-08-04,13.9,-66.4,45,1005,100,80,0,50,0,0,0,0
AL052012,ERNESTO,2012,2012-08-04,14.2,-67.9,45,1005,100,80,0,50,0,0,0,0
AL052012,ERNESTO,2012,2012-08-04,14.6,-69.5,45,1005,110,80,0,40,0,0,0,0
AL052012,ERNESTO,2012,2012-08-05,15.0,-71.5,45,1006,110,80,0,40,0,0,0,0
AL052012,ERNESTO,2012,2012-08-05,15.0,-73.8,45,1006,110,80,0,30,0,0,0,0
AL052012,ERNESTO,2012,2012-08-05,15.0,-76.1,45,1006,110,80,0,30,0,0,0,0
AL052012,ERNESTO,2012,2012-08-05,15.1,-77.8,45,1005,110,80,0,30,0,0,0,0
AL052012,ERNESTO,2012,2012-08-06,15.2,-78.9,45,1003,110,80,0,30,0,0,0,0
AL052012,ERNESTO,2012,2012-08-06,15.4,-79.6,50,998,110,60,0,30,0,0,0,0
AL052012,ERNESTO,2012,2012-08-06,15.7,-80.2,55,996,110,60,0,30,0,0,0,0
AL052012,ERNESTO,2012,2012-08-06,16.2,-81.2,55,995,110,60,0,30,0,0,0,0
AL052012,ERNESTO,2012,2012-08-07,16.7,-82.2,55,994,110,60,0,30,0,0,0,0
AL052012,ERNESTO,2012,2012-08-07,17.3,-83.3,55,993,110,80,30,40,0,0,0,0
AL052012,ERNESTO,2012,2012-08-07,17.8,-84.4,65,988,120,100,30,60,20,0,0,0
AL052012,ERNESTO,2012,2012-08-07,18.4,-85.7,75,983,120,120,40,70,30,20,0,10
AL052012,ERNESTO,2012,2012-08-08,18.7,-87.1,80,979,140,140,40,70,30,20,0,10
AL052012,ERNESTO,2012,2012-08-08,18.7,-87.2,80,977,140,140,40,70,30,20,0,10
AL052012,ERNESTO,2012,2012-08-08,18.8,-87.7,85,973,140,140,40,70,30,20,0,10
AL052012,ERNESTO,2012,2012-08-08,18.8,-88.3,80,973,140,140,40,70,30,20,0,10
AL052012,ERNESTO,2012,2012-08-08,18.8,-89.6,60,983,140,140,40,70,0,0,0,0
AL052012,ERNESTO,2012,2012-08-08,18.8,-90.8,50,993,120,100,50,70,0,0,0,0
AL052012,ERNESTO,2012,2012-08-09,18.8,-91.7,55,993,120,60,50,70,0,0,0,0
AL052012,ERNESTO,2012,2012-08-09,18.7,-92.8,60,992,120,60,50,80,0,0,0,0
AL052012,ERNESTO,2012,2012-08-09,18.4,-93.8,55,989,120,60,30,80,0,0,0,0
AL052012,ERNESTO,2012,2012-08-09,18.3,-94.6,55,989,120,60,30,80,0,0,0,0
AL052012,ERNESTO,2012,2012-08-09,18.2,-94.9,50,993,120,30,0,60,0,0,0,0
AL052012,ERNESTO,2012,2012-08-10,18.0,-96.0,40,997,100,0,0,30,0,0,0,0
AL052012,ERNESTO,2012,2012-08-10,17.9,-97.2,30,1002,0,0,0,0,0,0,0,0
AL072012,HELENE,2012,2012-08-09,13.7,-43.0,30,1010,0,0,0,0,0,0,0,0
AL072012,HELENE,2012,2012-08-10,13.6,-44.6,30,1009,0,0,0,0,0,0,0,0
AL072012,HELENE,2012,2012-08-10,13.5,-46.3,30,1008,0,0,0,0,0,0,0,0
AL072012,HELENE,2012,2012-08-10,13.4,-48.2,30,1009,0,0,0,0,0,0,0,0
AL072012,HELENE,2012,2012-08-10,13.4,-50.5,30,1009,0,0,0,0,0,0,0,0
AL072012,HELENE,2012,2012-08-11,13.4,-52.9,30,1009,0,0,0,0,0,0,0,0
AL072012,HELENE,2012,2012-08-11,13.4,-55.4,30,1009,0,0,0,0,0,0,0,0
AL072012,HELENE,2012,2012-08-11,13.3,-57.9,30,1011,0,0,0,0,0,0,0,0
AL072012,HELENE,2012,2012-08-11,13.3,-59.9,30,1011,0,0,0,0,0,0,0,0
AL072012,HELENE,2012,2012-08-12,13.5,-61.4,30,1011,0,0,0,0,0,0,0,0
AL072012,HELENE,2012,2012-08-12,13.7,-63.2,30,1011,0,0,0,0,0,0,0,0
AL072012,HELENE,2012,2012-08-12,13.9,-65.6,30,1011,0,0,0,0,0,0,0,0
AL072012,HELENE,2012,2012-08-12,14.1,-68.0,30,1010,0,0,0,0,0,0,0,0
AL072012,HELENE,2012,2012-08-13,14.1,-70.4,30,1009,0,0,0,0,0,0,0,0
AL072012,HELENE,2012,2012-08-13,14.1,-72.7,30,1009,0,0,0,0,0,0,0,0
AL072012,HELENE,2012,2012-08-13,14.1,-74.9,30,1008,0,0,0,0,0,0,0,0
AL072012,HELENE,2012,2012-08-13,14.1,-76.6,30,1008,0,0,0,0,0,0,0,0
AL072012,HELENE,2012,2012-08-14,14.1,-78.4,30,1008,0,0,0,0,0,0,0,0
AL072012,HELENE,2012,2012-08-14,14.1,-80.1,30,1009,0,0,0,0,0,0,0,0
AL072012,HELENE,2012,2012-08-14,14.1,-81.8,30,1009,0,0,0,0,0,0,0,0
AL072012,HELENE,2012,2012-08-14,14.3,-83.6,30,1009,0,0,0,0,0,0,0,0
AL072012,HELENE,2012,2012-08-15,14.7,-85.3,30,1010,0,0,0,0,0,0,0,0
AL072012,HELENE,2012,2012-08-15,15.2,-87.0,30,1010,0,0,0,0,0,0,0,0
AL072012,HELENE,2012,2012-08-15,15.7,-88.6,30,1011,0,0,0,0,0,0,0,0
AL072012,HELENE,2012,2012-08-15,16.5,-89.5,25,1011,0,0,0,0,0,0,0,0
AL072012,HELENE,2012,2012-08-16,17.5,-90.5,25,1011,0,0,0,0,0,0,0,0
AL072012,HELENE,2012,2012-08-16,18.5,-91.0,25,1011,0,0,0,0,0,0,0,0
AL072012,HELENE,2012,2012-08-16,19.2,-91.5,25,1011,0,0,0,0,0,0,0,0
AL072012,HELENE,2012,2012-08-16,19.3,-92.6,25,1011,0,0,0,0,0,0,0,0
AL072012,HELENE,2012,2012-08-17,19.3,-94.2,25,1011,0,0,0,0,0,0,0,0
AL072012,HELENE,2012,2012-08-17,19.7,-95.2,25,1011,0,0,0,0,0,0,0,0
AL072012,HELENE,2012,2012-08-17,19.9,-95.7,30,1009,0,0,0,0,0,0,0,0
AL072012,HELENE,2012,2012-08-17,20.3,-95.9,40,1004,0,20,20,0,0,0,0,0
AL072012,HELENE,2012,2012-08-18,20.8,-96.1,35,1006,0,30,30,0,0,0,0,0
AL072012,HELENE,2012,2012-08-18,21.4,-96.8,30,1007,0,0,0,0,0,0,0,0
AL072012,HELENE,2012,2012-08-18,21.9,-97.7,30,1008,0,0,0,0,0,0,0,0
AL072012,HELENE,2012,2012-08-18,22.5,-98.7,25,1009,0,0,0,0,0,0,0,0
AL072012,HELENE,2012,2012-08-19,22.7,-98.9,25,1009,0,0,0,0,0,0,0,0
AL092012,ISAAC,2012,2012-08-20,15.7,-44.8,25,1010,0,0,0,0,0,0,0,0
AL092012,ISAAC,2012,2012-08-20,15.6,-46.8,30,1009,0,0,0,0,0,0,0,0
AL092012,ISAAC,2012,2012-08-21,15.2,-48.5,30,1008,0,0,0,0,0,0,0,0
AL092012,ISAAC,2012,2012-08-21,14.9,-50.1,30,1007,0,0,0,0,0,0,0,0
AL092012,ISAAC,2012,2012-08-21,15.0,-51.6,30,1006,0,0,0,0,0,0,0,0
AL092012,ISAAC,2012,2012-08-21,15.2,-53.1,35,1005,40,0,0,0,0,0,0,0
AL092012,ISAAC,2012,2012-08-22,15.4,-54.8,40,1004,40,0,0,0,0,0,0,0
AL092012,ISAAC,2012,2012-08-22,15.7,-56.6,45,1003,50,0,0,0,0,0,0,0
AL092012,ISAAC,2012,2012-08-22,15.9,-58.6,45,1004,90,0,0,40,0,0,0,0
AL092012,ISAAC,2012,2012-08-22,16.1,-60.4,45,1004,150,0,0,60,0,0,0,0
AL092012,ISAAC,2012,2012-08-23,15.7,-62.0,45,1004,200,0,0,70,0,0,0,0
AL092012,ISAAC,2012,2012-08-23,15.0,-63.4,45,1004,180,30,0,80,0,0,0,0
AL092012,ISAAC,2012,2012-08-23,15.1,-65.0,45,1003,160,40,0,100,0,0,0,0
AL092012,ISAAC,2012,2012-08-23,15.6,-66.4,45,1003,150,50,0,110,0,0,0,0
AL092012,ISAAC,2012,2012-08-24,15.7,-67.8,45,1002,150,60,30,120,0,0,0,0
AL092012,ISAAC,2012,2012-08-24,15.4,-69.1,45,998,150,90,50,130,0,0,0,0
AL092012,ISAAC,2012,2012-08-24,15.7,-70.4,50,995,150,120,60,140,0,0,0,0
AL092012,ISAAC,2012,2012-08-24,16.6,-71.2,55,993,180,150,60,150,0,0,0,0
AL092012,ISAAC,2012,2012-08-25,17.3,-71.8,55,992,200,150,60,200,0,0,0,0
AL092012,ISAAC,2012,2012-08-25,18.3,-72.7,55,991,180,110,60,180,0,0,0,0
AL092012,ISAAC,2012,2012-08-25,19.6,-73.9,50,997,180,110,50,150,0,0,0,0
AL092012,ISAAC,2012,2012-08-25,20.1,-74.5,50,997,180,110,50,150,0,0,0,0
AL092012,ISAAC,2012,2012-08-25,20.8,-75.2,50,997,180,120,40,150,0,0,0,0
AL092012,ISAAC,2012,2012-08-26,21.8,-76.7,50,997,180,130,40,180,0,0,0,0
AL092012,ISAAC,2012,2012-08-26,22.7,-78.3,55,995,180,90,40,180,0,0,0,0
AL092012,ISAAC,2012,2012-08-26,23.4,-80.0,55,995,180,90,40,180,0,0,0,0
AL092012,ISAAC,2012,2012-08-26,23.7,-81.4,50,992,180,90,50,180,0,0,0,0
AL092012,ISAAC,2012,2012-08-27,24.2,-82.6,50,990,180,120,50,180,0,0,0,0
AL092012,ISAAC,2012,2012-08-27,25.0,-83.6,50,989,180,150,60,180,0,0,0,0
AL092012,ISAAC,2012,2012-08-27,25.7,-84.7,55,987,180,150,70,180,0,0,0,0
AL092012,ISAAC,2012,2012-08-27,26.3,-85.7,60,982,180,150,80,180,0,0,0,0
AL092012,ISAAC,2012,2012-08-28,26.8,-86.7,60,979,180,150,100,180,0,0,0,0
AL092012,ISAAC,2012,2012-08-28,27.4,-87.6,60,978,180,150,110,170,0,0,0,0
AL092012,ISAAC,2012,2012-08-28,28.0,-88.3,65,975,180,150,120,160,60,60,0,0
AL092012,ISAAC,2012,2012-08-28,28.6,-88.8,70,972,180,150,140,150,60,60,0,0
AL092012,ISAAC,2012,2012-08-29,28.9,-89.4,70,967,180,150,150,140,50,60,0,0
AL092012,ISAAC,2012,2012-08-29,29.0,-89.7,70,965,180,150,150,140,50,60,0,0
AL092012,ISAAC,2012,2012-08-29,29.1,-90.0,70,966,180,150,150,130,50,50,0,0
AL092012,ISAAC,2012,2012-08-29,29.2,-90.2,70,966,180,150,150,130,50,50,0,0
AL092012,ISAAC,2012,2012-08-29,29.4,-90.5,65,968,180,150,150,110,50,50,0,0
AL092012,ISAAC,2012,2012-08-29,29.7,-90.8,60,973,180,150,150,90,0,0,0,0
AL092012,ISAAC,2012,2012-08-30,30.1,-91.1,55,977,150,150,140,70,0,0,0,0
AL092012,ISAAC,2012,2012-08-30,30.6,-91.5,55,982,100,160,140,50,0,0,0,0
AL092012,ISAAC,2012,2012-08-30,31.3,-91.9,45,987,60,160,140,0,0,0,0,0
AL092012,ISAAC,2012,2012-08-30,32.1,-92.4,35,993,0,170,0,0,0,0,0,0
AL092012,ISAAC,2012,2012-08-31,33.1,-92.9,30,998,0,0,0,0,0,0,0,0
AL092012,ISAAC,2012,2012-08-31,34.3,-93.5,25,1000,0,0,0,0,0,0,0,0
AL092012,ISAAC,2012,2012-08-31,35.6,-94.0,20,1001,0,0,0,0,0,0,0,0
AL092012,ISAAC,2012,2012-08-31,36.8,-94.1,20,1003,0,0,0,0,0,0,0,0
AL092012,ISAAC,2012,2012-09-01,37.8,-93.9,20,1004,0,0,0,0,0,0,0,0
AL092012,ISAAC,2012,2012-09-01,38.4,-93.3,20,1005,0,0,0,0,0,0,0,0
AL122012,LESLIE,2012,2012-08-28,12.9,-27.4,20,1010,0,0,0,0,0,0,0,0
AL122012,LESLIE,2012,2012-08-28,13.0,-29.6,20,1010,0,0,0,0,0,0,0,0
AL122012,LESLIE,2012,2012-08-29,13.1,-31.7,25,1009,0,0,0,0,0,0,0,0
AL122012,LESLIE,2012,2012-08-29,13.2,-33.7,25,1009,0,0,0,0,0,0,0,0
AL122012,LESLIE,2012,2012-08-29,13.3,-35.6,25,1009,0,0,0,0,0,0,0,0
AL122012,LESLIE,2012,2012-08-29,13.4,-37.5,25,1008,0,0,0,0,0,0,0,0
AL122012,LESLIE,2012,2012-08-30,13.5,-39.2,30,1007,0,0,0,0,0,0,0,0
AL122012,LESLIE,2012,2012-08-30,13.6,-40.9,30,1006,0,0,0,0,0,0,0,0
AL122012,LESLIE,2012,2012-08-30,13.8,-42.6,35,1005,30,0,0,0,0,0,0,0
AL122012,LESLIE,2012,2012-08-30,14.2,-44.2,40,1004,40,30,0,40,0,0,0,0
AL122012,LESLIE,2012,2012-08-31,14.7,-45.8,45,1002,40,30,0,40,0,0,0,0
AL122012,LESLIE,2012,2012-08-31,15.3,-47.4,50,1001,60,50,30,60,0,0,0,0
AL122012,LESLIE,2012,2012-08-31,16.0,-49.0,55,999,60,50,30,60,0,0,0,0
AL122012,LESLIE,2012,2012-08-31,16.5,-50.6,55,999,80,60,40,70,0,0,0,0
AL122012,LESLIE,2012,2012-09-01,17.1,-52.2,60,998,80,60,40,70,0,0,0,0
AL122012,LESLIE,2012,2012-09-01,17.6,-53.8,60,996,100,90,50,90,0,0,0,0
AL122012,LESLIE,2012,2012-09-01,18.1,-55.3,60,995,120,140,60,100,0,0,0,0
AL122012,LESLIE,2012,2012-09-01,18.8,-56.8,60,994,120,140,60,120,0,0,0,0
AL122012,LESLIE,2012,2012-09-02,19.6,-58.1,60,994,150,150,60,140,0,0,0,0
AL122012,LESLIE,2012,2012-09-02,20.4,-59.4,55,995,150,150,60,140,0,0,0,0
AL122012,LESLIE,2012,2012-09-02,21.2,-60.7,50,997,180,180,60,140,0,0,0,0
AL122012,LESLIE,2012,2012-09-02,22.1,-61.4,50,997,180,160,60,140,0,0,0,0
AL122012,LESLIE,2012,2012-09-03,22.9,-61.7,50,997,180,160,60,140,0,0,0,0
AL122012,LESLIE,2012,2012-09-03,23.4,-62.2,50,996,180,160,60,140,0,0,0,0
AL122012,LESLIE,2012,2012-09-03,23.5,-62.6,50,993,180,160,60,140,0,0,0,0
AL122012,LESLIE,2012,2012-09-03,23.8,-62.8,55,990,180,160,60,130,0,0,0,0
AL122012,LESLIE,2012,2012-09-04,24.2,-62.6,60,989,180,180,60,120,0,0,0,0
AL122012,LESLIE,2012,2012-09-04,24.5,-62.5,60,988,180,180,60,110,0,0,0,0
AL122012,LESLIE,2012,2012-09-04,24.8,-62.5,60,988,180,180,60,100,0,0,0,0
AL122012,LESLIE,2012,2012-09-04,25.0,-62.6,60,988,140,200,60,100,0,0,0,0
AL122012,LESLIE,2012,2012-09-05,25.2,-62.8,60,988,140,200,60,100,0,0,0,0
AL122012,LESLIE,2012,2012-09-05,25.4,-62.8,65,985,140,200,60,140,15,15,0,0
AL122012,LESLIE,2012,2012-09-05,25.6,-62.8,70,982,140,200,60,140,20,20,0,0
AL122012,LESLIE,2012,2012-09-05,25.8,-62.7,70,982,150,200,60,140,20,20,15,15
AL122012,LESLIE,2012,2012-09-06,26.0,-62.6,65,984,160,170,100,150,20,20,15,15
AL122012,LESLIE,2012,2012-09-06,26.2,-62.5,65,984,160,170,100,150,20,20,15,15
AL122012,LESLIE,2012,2012-09-06,26.3,-62.4,65,983,160,170,100,150,20,20,15,15
AL122012,LESLIE,2012,2012-09-06,26.4,-62.3,65,982,160,140,100,140,20,20,15,15
AL122012,LESLIE,2012,2012-09-07,26.5,-62.2,65,982,160,140,100,140,30,30,0,30
AL122012,LESLIE,2012,2012-09-07,26.6,-62.2,65,982,160,140,100,140,30,30,0,30
AL122012,LESLIE,2012,2012-09-07,26.8,-62.2,60,981,160,140,100,140,0,0,0,0
AL122012,LESLIE,2012,2012-09-07,27.1,-62.2,60,981,160,140,100,150,0,0,0,0
AL122012,LESLIE,2012,2012-09-08,27.4,-62.3,60,983,160,140,100,150,0,0,0,0
AL122012,LESLIE,2012,2012-09-08,27.8,-62.4,55,985,160,140,100,150,0,0,0,0
AL122012,LESLIE,2012,2012-09-08,28.3,-62.5,55,987,160,140,100,150,0,0,0,0
AL122012,LESLIE,2012,2012-09-08,29.0,-62.5,55,988,160,140,100,150,0,0,0,0
AL122012,LESLIE,2012,2012-09-09,29.7,-62.6,55,988,160,140,100,150,0,0,0,0
AL122012,LESLIE,2012,2012-09-09,30.5,-62.6,55,988,170,150,130,150,0,0,0,0
AL122012,LESLIE,2012,2012-09-09,31.5,-62.5,55,988,170,150,130,150,0,0,0,0
AL122012,LESLIE,2012,2012-09-09,32.6,-62.3,55,988,170,150,120,150,0,0,0,0
AL122012,LESLIE,2012,2012-09-10,33.8,-62.0,55,988,170,150,120,150,0,0,0,0
AL122012,LESLIE,2012,2012-09-10,35.1,-61.6,60,985,180,180,140,150,0,0,0,0
AL122012,LESLIE,2012,2012-09-10,36.4,-60.8,65,980,180,180,140,150,20,20,0,0
AL122012,LESLIE,2012,2012-09-10,38.5,-59.8,65,975,180,180,140,150,20,20,0,0
AL122012,LESLIE,2012,2012-09-11,41.1,-58.6,65,970,180,180,140,150,20,20,0,0
AL122012,LESLIE,2012,2012-09-11,44.0,-57.3,65,968,270,270,180,150,30,30,0,0
AL122012,LESLIE,2012,2012-09-11,45.8,-56.1,65,968,270,270,180,150,30,30,0,0
AL122012,LESLIE,2012,2012-09-11,47.7,-54.9,65,970,300,300,180,150,30,30,0,0
AL122012,LESLIE,2012,2012-09-11,51.6,-51.9,60,972,300,300,180,150,0,0,0,0
AL122012,LESLIE,2012,2012-09-12,55.5,-48.5,55,975,300,300,180,150,0,0,0,0
AL172012,RAFAEL,2012,2012-10-12,14.7,-62.7,35,1006,0,150,0,0,0,0,0,0
AL172012,RAFAEL,2012,2012-10-13,15.0,-63.2,35,1007,0,150,0,0,0,0,0,0
AL172012,RAFAEL,2012,2012-10-13,15.3,-63.7,35,1006,0,150,0,0,0,0,0,0
AL172012,RAFAEL,2012,2012-10-13,15.6,-63.8,35,1006,0,150,0,0,0,0,0,0
AL172012,RAFAEL,2012,2012-10-13,16.7,-63.6,40,1004,0,150,0,0,0,0,0,0
AL172012,RAFAEL,2012,2012-10-14,17.9,-63.5,45,1004,150,150,0,0,0,0,0,0
AL172012,RAFAEL,2012,2012-10-14,18.9,-63.6,45,1003,150,150,0,0,0,0,0,0
AL172012,RAFAEL,2012,2012-10-14,19.7,-63.9,50,999,150,150,0,60,0,0,0,0
AL172012,RAFAEL,2012,2012-10-14,20.4,-64.3,55,994,150,150,0,100,0,0,0,0
AL172012,RAFAEL,2012,2012-10-15,21.3,-64.7,60,989,150,150,0,100,0,0,0,0
AL172012,RAFAEL,2012,2012-10-15,22.0,-65.2,65,986,150,150,50,100,40,20,0,30
AL172012,RAFAEL,2012,2012-10-15,22.6,-65.6,70,983,180,150,80,120,40,20,0,30
AL172012,RAFAEL,2012,2012-10-15,23.6,-65.8,75,979,180,180,80,120,40,20,0,30
AL172012,RAFAEL,2012,2012-10-16,24.6,-65.6,80,974,180,180,80,120,40,20,0,30
AL172012,RAFAEL,2012,2012-10-16,25.9,-65.3,80,972,180,180,80,130,40,30,20,30
AL172012,RAFAEL,2012,2012-10-16,27.6,-64.9,80,969,180,180,90,130,30,30,30,30
AL172012,RAFAEL,2012,2012-10-16,29.5,-64.2,75,970,180,180,100,120,30,30,30,30
AL172012,RAFAEL,2012,2012-10-17,31.6,-63.1,75,970,180,180,100,120,30,40,30,30
AL172012,RAFAEL,2012,2012-10-17,34.0,-61.7,70,972,210,240,120,120,40,60,30,30
AL172012,RAFAEL,2012,2012-10-17,36.5,-60.1,65,972,240,270,150,150,50,60,30,30
AL172012,RAFAEL,2012,2012-10-17,38.8,-58.0,65,972,270,270,150,170,0,70,60,0
AL172012,RAFAEL,2012,2012-10-18,41.3,-55.0,65,972,300,300,150,170,0,70,60,0
AL172012,RAFAEL,2012,2012-10-18,43.4,-50.7,60,972,300,300,150,170,0,0,0,0
AL172012,RAFAEL,2012,2012-10-18,45.2,-46.0,55,972,300,300,150,170,0,0,0,0
AL172012,RAFAEL,2012,2012-10-18,47.0,-41.0,55,973,240,300,150,170,0,0,0,0
AL172012,RAFAEL,2012,2012-10-19,49.2,-36.2,50,975,180,360,400,180,0,0,0,0
AL172012,RAFAEL,2012,2012-10-19,51.0,-32.5,50,973,220,360,320,240,0,0,0,0
AL172012,RAFAEL,2012,2012-10-19,53.0,-29.5,50,970,270,390,320,240,0,0,0,0
AL172012,RAFAEL,2012,2012-10-19,55.0,-30.0,50,968,360,360,400,280,0,0,0,0
AL172012,RAFAEL,2012,2012-10-20,56.5,-33.0,50,966,450,360,640,480,0,0,0,0
AL172012,RAFAEL,2012,2012-10-20,56.0,-37.0,50,966,450,300,540,480,0,0,0,0
AL172012,RAFAEL,2012,2012-10-20,53.1,-36.4,50,967,480,240,450,480,0,0,0,0
AL172012,RAFAEL,2012,2012-10-20,50.8,-34.3,50,970,480,240,480,480,0,0,0,0
AL172012,RAFAEL,2012,2012-10-21,49.7,-32.2,45,975,0,240,480,480,0,0,0,0
AL172012,RAFAEL,2012,2012-10-21,49.2,-31.1,40,978,0,240,480,480,0,0,0,0
AL172012,RAFAEL,2012,2012-10-21,48.2,-30.6,40,979,0,240,480,480,0,0,0,0
AL172012,RAFAEL,2012,2012-10-21,47.0,-30.8,40,982,0,240,480,480,0,0,0,0
AL172012,RAFAEL,2012,2012-10-22,45.5,-31.1,40,983,0,240,480,480,0,0,0,0
AL172012,RAFAEL,2012,2012-10-22,43.9,-29.8,40,985,0,240,480,480,0,0,0,0
AL172012,RAFAEL,2012,2012-10-22,41.9,-28.3,40,987,0,240,480,480,0,0,0,0
AL172012,RAFAEL,2012,2012-10-22,40.0,-27.0,40,989,0,240,480,480,0,0,0,0
AL172012,RAFAEL,2012,2012-10-23,39.2,-25.5,40,992,0,240,480,480,0,0,0,0
AL172012,RAFAEL,2012,2012-10-23,39.5,-24.5,40,992,0,240,480,480,0,0,0,0
AL172012,RAFAEL,2012,2012-10-23,39.8,-23.6,40,992,0,240,480,480,0,0,0,0
AL172012,RAFAEL,2012,2012-10-23,40.5,-22.1,40,992,0,240,480,480,0,0,0,0
AL172012,RAFAEL,2012,2012-10-24,41.2,-20.1,40,993,0,240,480,480,0,0,0,0
AL172012,RAFAEL,2012,2012-10-24,41.6,-18.8,40,995,0,240,480,480,0,0,0,0
AL172012,RAFAEL,2012,2012-10-24,42.1,-17.5,30,995,0,0,0,0,0,0,0,0
